,name,price,pricing_changes,pricing_percentage_changes,sector,industry,market_cap,share_volume,earnings_per_share,annualized_dividend,dividend_pay_date,symbol_yield,beta
840,"Assurant, Inc. Common Stock",169.95,+0.55,(+0.32%),Finance,Specialty Insurers,"9,374,718,849","249,059",$22.93,$2.72,"Mar 21, 2022",1.61%,0.59
843,Dick's Sporting Goods Inc Common Stock,107.62,-2.32,(-2.11%),Consumer Services,Other Specialty Stores,"9,320,530,079","1,399,881",$13.88,$1.95,"Mar 25, 2022",1.61%,1.7
844,"NRG Energy, Inc. Common Stock",38.48,+0.83,(+2.2%),Public Utilities,Electric Utilities: Central,"9,318,056,637","2,701,739",$8.93,$1.40,"Feb 15, 2022",3.69%,0.92
845,Federal Realty Investment Trust Common Stock,118.44,-1.13,(-0.95%),Consumer Services,Real Estate Investment Trusts,"9,311,375,569","347,947",$3.25,$4.28,"Apr 15, 2022",3.58%,1.14
846,"Aspen Technology, Inc. Common Stock",139.48,-0.97,(-0.69%),Technology,EDP Services,"9,298,011,018","406,802",$3.80,N/A,N/A,N/A,1.3
847,"Hertz Global Holdings, Inc Common Stock",21.54,+0.46,(+2.18%),Miscellaneous,Rental/Leasing Companies,"9,246,999,265","5,406,042",N/A,N/A,N/A,N/A,3.19
848,Repligen Corporation Common Stock,167.02,-4.98,(-2.9%),Health Care,Medical/Dental Instruments,"9,240,794,875","271,274",$2.24,N/A,N/A,N/A,0.91
849,Invesco Ltd Common Stock,20.04,-0.02,(-0.1%),Finance,Investment Managers,"9,233,442,745","3,791,625",$3.00,$0.68,"Mar 2, 2022",3.39%,1.19
851,Newell Brands Inc. Common Stock,21.58,-0.38,(-1.73%),Consumer Non-Durables,Plastic Products,"9,182,290,000","1,929,530",$1.33,$0.92,"Mar 15, 2022",4.08%,0.86
852,BanColombia S.A. Common Stock,37.9,-0.21,(-0.55%),Finance,Commercial Banks,"9,113,310,825","391,210",$4.42,$0.227,"Jan 13, 2022",0.58%,1.24
854,Organon & Co. Common Stock,35.83,-0.15,(-0.42%),Health Care,Biotechnology: Pharmaceutical Preparations,"9,084,697,539","1,488,562",$5.32,$1.12,"Mar 17, 2022",3.07%,0.61
855,Middleby Corporation,166.17,-2.99,(-1.77%),Capital Goods,Diversified Manufacture,"9,083,032,494","369,232",$8.61,N/A,N/A,N/A,1.65
856,Aramark Common Stock,35.35,+0.35,(+1%),N/A,N/A,"9,077,729,904","1,439,816",$0.14,$0.44,"Mar 2, 2022",1.26%,1.89
857,Elbit Systems Ltd. Ordinary Shares,204.9,-1.56,(-0.76%),Capital Goods,Military/Government/Technical,"9,075,412,769","30,925",$7.55,$1.535,"Jan 3, 2022",0.77%,0.79
858,"Tapestry, Inc. Common Stock",34.35,-1.22,(-3.43%),Consumer Non-Durables,Apparel,"9,068,046,848","4,689,930",$2.96,$1.00,"Mar 28, 2022",2.79%,1.43
859,"Royal Gold, Inc. Common Stock",137.18,+0.98,(+0.72%),N/A,N/A,"9,001,642,268","796,628",$4.17,$1.40,"Apr 14, 2022",1.07%,0.6
860,"Toast, Inc. Class A Common Stock",17.63,-1.98,(-10.1%),Technology,EDP Services,"8,973,253,985","3,813,446",N/A,N/A,N/A,N/A,2.41
861,DiDi Global Inc. American Depositary Shares,1.89,-1.49,(-44.08%),N/A,N/A,"8,935,326,094","240,432,431",N/A,N/A,N/A,N/A,-0.6
862,Erie Indemnity Company Class A Common Stock,170.5,+0.40,(+0.24%),Finance,Specialty Insurers,27.75,"86,105","Apr 4, 2022","Apr 20, 2022",0.49,"Dec 5, 2012",$2.00
863,Owens Corning Inc Common Stock New,89.8,+0.86,(+0.97%),N/A,N/A,"8,899,270,878","866,275",$9.53,$1.40,"Apr 7, 2022",1.58%,1.47
864,Western Alliance Bancorporation Common Stock,83.04,-1.75,(-2.06%),Finance,Major Banks,"8,885,059,197","633,790",$8.67,$1.40,"Mar 4, 2022",1.65%,1.53
865,Pentair plc. Ordinary Share,53.8,-0.85,(-1.56%),Capital Goods,Fluid Controls,"8,882,317,969","1,367,863",$3.31,$0.84,"May 6, 2022",1.51%,1.13
866,"Doximity, Inc. Class A Common Stock",46.41,-3.54,(-7.09%),Technology,Retail: Computer Software & Peripheral Equipment,"8,878,882,694","2,248,985",N/A,N/A,N/A,N/A,-0.44
867,Vornado Realty Trust Common Stock,46.22,-0.06,(-0.13%),Consumer Services,Real Estate Investment Trusts,"8,861,465,162","1,727,811",$0.53,$2.12,"Feb 11, 2022",4.6%,1.22
869,"Cable One, Inc. Common Stock",1459.2,-18.31,(-1.24%),Consumer Services,Telecommunications Equipment,"8,842,298,189","39,852",$46.74,$11.00,"Mar 4, 2022",0.75%,0.62
870,"Cullen/Frost Bankers, Inc. Common Stock",137.99,+0.10,(+0.07%),Finance,Major Banks,"8,834,612,562","435,897",$6.76,$3.00,"Mar 15, 2022",2.17%,1.29
871,IAC/InterActiveCorp Common Stock,98.29,-5.52,(-5.32%),Consumer Services,EDP Services,"8,822,797,997","637,585",$6.33,N/A,N/A,N/A,1.27
872,Huazhu Group Limited American Depositary Shares,27.23,-3.80,(-12.25%),Consumer Services,Hotels/Resorts,"8,813,024,736","7,223,112",$0.32,$0.21,"Apr 21, 2022",N/A,1.38
873,"Black Knight, Inc. Common Stock",56.6,-0.58,(-1.01%),Technology,EDP Services,"8,789,005,914","1,484,080",$1.33,N/A,N/A,N/A,0.83
874,"SentinelOne, Inc. Class A Common Stock",32.91,-2.33,(-6.61%),Technology,EDP Services,"8,784,043,906","4,710,657",N/A,N/A,N/A,N/A,3.08
878,"People's United Financial, Inc. Common Stock",20.31,-0.16,(-0.78%),Finance,Savings Institutions,"8,726,623,798","3,299,390",$1.38,$0.73,"Feb 15, 2022",3.58%,0.98
879,BorgWarner Inc. Common Stock,36.32,-0.40,(-1.09%),Capital Goods,Auto Parts:O.E.M.,"8,715,763,754","2,506,397",$2.24,$0.68,"Mar 15, 2022",1.82%,1.43
880,United States Steel Corporation Common Stock,33.34,+0.04,(+0.12%),Basic Industries,Steel/Iron Ore,"8,699,427,471","27,493,823",$14.60,$0.20,"Mar 8, 2022",0.64%,1.94
881,Alleghany Corporation Common Stock,638.51,+5.59,(+0.88%),Finance,Property-Casualty Insurers,"8,638,750,416","62,102",$74.53,N/A,N/A,N/A,0.63
882,TFI International Inc. Common Shares,92.76,-2.27,(-2.39%),N/A,N/A,"8,631,029,795","142,601",$6.25,$1.08,"Jan 17, 2022",1.13%,1.55
883,"Five Below, Inc. Common Stock",153.42,-6.59,(-4.12%),Consumer Services,Department/Specialty Retail Stores,"8,595,414,720","727,450",$4.66,N/A,N/A,N/A,1.39
884,"Commerce Bancshares, Inc. Common Stock",70.93,+0.38,(+0.54%),Finance,Major Banks,19.54,"322,790","Mar 7, 2022","Mar 23, 2022",0.85,"Nov 28, 2012",$1.50
885,"Tetra Tech, Inc. Common Stock",158.8,-0.74,(-0.46%),Consumer Services,Military/Government/Technical,"8,575,106,308","414,189",$4.55,$0.80,"Feb 25, 2022",0.5%,0.86
886,AEGON N.V. Common Stock,4.28,-0.08,(-1.83%),Finance,Life Insurance,"8,556,734,565","2,956,969",N/A,$0.175,"Jul 6, 2022",3.59%,1.22
887,Kilroy Realty Corporation Common Stock,73.29,-0.28,(-0.38%),Consumer Services,Real Estate Investment Trusts,"8,554,121,503","586,464",$5.36,$2.08,"Apr 13, 2022",2.85%,0.73
888,Knight-Swift Transportation Holdings Inc.,51.37,-0.39,(-0.75%),Transportation,Trucking Freight/Courier Services,"8,537,235,574","1,580,911",$4.44,$0.48,"Mar 28, 2022",0.92%,1.3
889,"Mohawk Industries, Inc. Common Stock",131.11,-1.65,(-1.24%),Consumer Durables,Home Furnishings,"8,531,463,137","864,860",$14.91,N/A,N/A,N/A,1.53
890,"Neurocrine Biosciences, Inc. Common Stock",89.29,-1.62,(-1.78%),Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"8,504,219,165","560,236",$0.91,N/A,N/A,N/A,0.7
891,Toro Company,81.34,-1.58,(-1.91%),Capital Goods,Tools/Hardware,"8,503,085,700","448,477",$3.42,$1.20,"Jan 11, 2022",1.42%,0.75
892,"Trex Company, Inc. Common Stock",74.04,-2.19,(-2.87%),N/A,N/A,"8,485,478,883","1,541,186",$1.81,N/A,N/A,N/A,1.52
893,"Confluent, Inc. Class A Common Stock",31.08,-3.35,(-9.73%),Technology,EDP Services,"8,483,238,603","3,206,792",N/A,N/A,N/A,N/A,2.18
894,Dr. Reddy's Laboratories Ltd Common Stock,50.86,+0.30,(+0.59%),Health Care,Biotechnology: Pharmaceutical Preparations,"8,440,313,125","351,862",$2.29,$0.28,"Aug 11, 2021",0.54%,0.56
895,Ciena Corporation Common Stock,54.98,-2.40,(-4.18%),Public Utilities,Telecommunications Equipment,"8,412,526,747","2,130,924",$3.13,N/A,N/A,N/A,0.89
896,"Upstart Holdings, Inc. Common stock",100.08,-12.62,(-11.2%),Finance,Finance: Consumer Services,"8,412,337,590","13,305,985",$1.41,N/A,N/A,N/A,-0.02
897,Huaneng Power Intl Common Stock,21.43,-1.92,(-8.22%),Public Utilities,Electric Utilities: Central,"8,410,253,496","31,789",N/A,$0.976,"Sep 10, 2021",4.17%,0.83
899,"Wynn Resorts, Limited Common stock",72.32,-4.21,(-5.5%),Consumer Services,Hotels/Resorts,-88.99,"3,624,746",N/A,"Mar 6, 2020",2.31,"Nov 7, 2014",$1.00
901,Pinnacle West Capital Corporation Common Stock,73.76,-0.47,(-0.63%),Public Utilities,Electric Utilities: Central,"8,329,859,083","772,986",$5.47,$3.40,"Mar 1, 2022",4.64%,0.26
902,"Advanced Drainage Systems, Inc. Common Stock",115.54,+3.02,(+2.68%),Capital Goods,Building Products,"8,309,615,656","579,111",$2.84,$0.44,"Mar 15, 2022",0.39%,1.34
904,Sensata Technologies Holding plc Ordinary Shares,52.44,-0.68,(-1.28%),Capital Goods,Industrial Machinery/Components,"8,266,468,600","828,306",$2.28,N/A,N/A,N/A,1.35
905,"BJ's Wholesale Club Holdings, Inc. Common Stock",61.02,+0.79,(+1.31%),Consumer Services,Department/Specialty Retail Stores,"8,260,523,494","1,433,626",$3.09,N/A,N/A,N/A,0.47
906,Apartment Income REIT Corp. Common Stock,52.54,-0.48,(-0.91%),Consumer Services,Real Estate Investment Trusts,"8,254,959,965","494,193",$2.87,$1.80,"Feb 25, 2022",3.41%,1.07
907,"Manhattan Associates, Inc. Common Stock",130.7,-1.05,(-0.8%),Technology,Computer Software: Prepackaged Software,"8,254,346,345","247,235",$1.72,N/A,N/A,N/A,1.98
908,Teva Pharmaceutical Industries Limited American Depositary Shares,7.48,-0.24,(-3.11%),Health Care,Biotechnology: Pharmaceutical Preparations,"8,252,906,126","6,299,179",$0.38,N/A,N/A,N/A,1.2
909,"Huntington Ingalls Industries, Inc. Common Stock",206.07,-4.60,(-2.18%),Capital Goods,Metal Fabrications,"8,240,537,764","360,026",$13.52,$4.72,"Mar 11, 2022",2.27%,0.92
910,Woori Financial Group Inc. American Depositary Shares,33.72,-0.19,(-0.56%),Finance,Commercial Banks,"8,183,374,449","10,231",$9.19,$0.30,"Aug 26, 2021",0.89%,0.85
911,"Churchill Downs, Incorporated Common Stock",214.68,-0.50,(-0.23%),Consumer Services,Services-Misc. Amusement & Recreation,"8,177,162,488","121,192",$6.35,$0.667,"Jan 7, 2022",0.31%,1.15
912,Huntsman Corporation Common Stock,38.0,+0.03,(+0.08%),Basic Industries,Major Chemicals,"8,151,994,384","2,946,993",$4.74,$0.85,"Mar 31, 2022",2.03%,1.15
913,Synaptics Incorporated Common Stock $0.001 Par Value,205.59,-4.70,(-2.24%),Technology,Computer peripheral equipment,"8,125,678,511","357,417",$3.53,N/A,N/A,N/A,1.27
914,"Arrow Electronics, Inc. Common Stock",119.86,+1.31,(+1.11%),Technology,Electronic Components,"8,113,691,850","550,108",$15.21,N/A,N/A,N/A,1.48
915,Lear Corporation Common Stock,135.8,-2.37,(-1.72%),Capital Goods,Auto Parts:O.E.M.,"8,107,669,573","365,079",$6.17,$3.08,"Mar 30, 2022",2.18%,1.53
916,"XPO Logistics, Inc.",70.48,-1.91,(-2.64%),Transportation,Oil Refining/Marketing,"8,090,624,525","2,346,551",$2.96,N/A,N/A,N/A,2.04
917,STORE Capital Corporation Common Stock,29.41,-0.02,(-0.07%),Consumer Services,Real Estate Investment Trusts,"8,081,160,072","1,653,601",$1.00,$1.54,"Jan 18, 2022",5.23%,1.25
919,"First Solar, Inc. Common Stock",75.39,-1.11,(-1.45%),Technology,Semiconductors,"8,016,502,468","1,538,830",$4.38,N/A,N/A,N/A,1.37
920,WillScot Mobile Mini Holdings Corp. Class A Common Stock,35.86,-0.09,(-0.25%),Technology,Diversified Commercial Services,"8,006,739,505","903,087",$0.68,N/A,N/A,N/A,1.68
921,Ternium S.A. Ternium S.A. American Depositary Shares,40.75,+0.35,(+0.87%),Basic Industries,Steel/Iron Ore,"7,999,537,838","336,907",$19.48,$1.80,"May 11, 2022",2.05%,1.5
922,Jabil Inc. Common Stock,55.64,+0.12,(+0.22%),Technology,Electrical Products,"7,983,470,736","992,347",$4.90,$0.32,"Mar 2, 2022",0.57%,1.41
923,"Mattel, Inc. Common Stock",22.63,-0.46,(-1.99%),Consumer Non-Durables,Recreational Products/Toys,"7,971,211,567","3,061,088",$2.57,N/A,N/A,N/A,1.47
924,Nuvei Corporation Subordinate Voting Shares,55.35,-1.40,(-2.47%),N/A,N/A,"7,912,133,885","258,126",N/A,N/A,N/A,N/A,2.29
925,Cosan S.A. ADS,16.93,-0.63,(-3.59%),Consumer Durables,Automotive Aftermarket,"7,908,977,152","172,574",N/A,$0.438,"Jan 4, 2022",2.43%,-1.57
926,Old Republic International Corporation Common Stock,25.71,+0.22,(+0.86%),Finance,Specialty Insurers,"7,908,427,675","2,410,835",$5.08,$0.92,"Mar 15, 2022",3.59%,0.81
927,"MKS Instruments, Inc. Common Stock",142.24,-4.56,(-3.11%),Capital Goods,Industrial Machinery/Components,"7,896,763,968","461,312",$9.90,$0.88,"Mar 11, 2022",0.58%,1.46
928,"Syneos Health, Inc. Class A Common Stock",75.24,-1.54,(-2.01%),Health Care,Biotechnology: Commercial Physical & Biological Resarch,"7,841,598,423","913,643",$2.24,N/A,N/A,N/A,1.84
929,"Penske Automotive Group, Inc. Common Stock",101.15,+0.31,(+0.31%),Consumer Services,Other Specialty Stores,"7,821,682,593","297,868",$14.92,$1.88,"Mar 1, 2022",1.88%,1.46
930,United Therapeutics Corporation Common Stock,173.0,+5.22,(+3.11%),Health Care,Biotechnology: Pharmaceutical Preparations,"7,807,853,646","1,511,086",$10.03,N/A,N/A,N/A,0.67
931,"SiteOne Landscape Supply, Inc. Common Stock",173.66,+0.86,(+0.5%),N/A,N/A,"7,787,124,876","250,393",$5.20,N/A,N/A,N/A,1.3
932,"Dropbox, Inc. Class A Common Stock",20.35,-0.74,(-3.51%),Technology,Computer Software: Prepackaged Software,"7,766,678,151","3,229,430",$0.85,N/A,N/A,N/A,0.91
933,MP Materials Corp. Common Stock,43.73,-1.97,(-4.31%),Basic Industries,Metal Mining,"7,763,167,944","2,204,602",$0.73,N/A,N/A,N/A,3.09
934,"Pearson, Plc Common Stock",10.23,+1.54,(+17.72%),Consumer Services,Books,"7,746,839,794","4,332,389",N/A,$0.379,"May 11, 2022",1.97%,0.26
935,OGE Energy Corp Common Stock,38.69,-0.18,(-0.46%),Public Utilities,Electric Utilities: Central,"7,745,808,338","782,323",$3.67,$1.64,"Apr 29, 2022",4.23%,0.68
936,"KBR, Inc. Common Stock",55.41,+1.37,(+2.54%),Capital Goods,Oilfield Services/Equipment,"7,729,729,299","1,897,221",$0.09,$0.48,"Apr 15, 2022",0.83%,1.27
937,SEI Investments Company Common Stock,55.78,-0.61,(-1.08%),Finance,Investment Bankers/Brokers/Service,14.61,"535,100","Dec 20, 2021","Jan 7, 2022",1.06,"Dec 19, 2012",$0.32
938,"EastGroup Properties, Inc. Common Stock",187.03,-3.75,(-1.97%),Consumer Services,Real Estate Investment Trusts,"7,714,883,698","187,660",$3.89,$4.40,"Apr 14, 2022",2.31%,0.86
939,CAE Inc. Ordinary Shares,24.26,-1.22,(-4.79%),N/A,N/A,"7,690,028,152","374,977",$0.28,N/A,N/A,N/A,1.64
940,"Woodward, Inc. Common Stock",121.82,+0.89,(+0.74%),Capital Goods,Military/Government/Technical,"7,687,416,869","347,632",$3.01,$0.76,"Mar 7, 2022",0.64%,1.52
941,US Foods Holding Corp. Common Stock,34.43,+0.04,(+0.12%),Consumer Non-Durables,Food Distributors,"7,678,591,752","2,319,217",$0.52,N/A,N/A,N/A,1.6
942,"Berry Global Group, Inc. Common Stock",56.71,-0.11,(-0.19%),Consumer Non-Durables,Plastic Products,"7,672,863,000","715,182",$5.23,N/A,N/A,N/A,1.35
943,Ralph Lauren Corporation Common Stock,107.54,-1.58,(-1.45%),Consumer Non-Durables,Apparel,"7,653,329,399","835,447",$6.67,$2.75,"Jan 7, 2022",2.53%,1.45
944,"Wyndham Hotels & Resorts, Inc. Common Stock",82.79,+0.05,(+0.06%),Consumer Services,Hotels/Resorts,"7,641,980,955","1,177,851",$2.60,$1.28,"Dec 29, 2021",1.55%,1.65
945,Genpact Limited Common Stock,41.26,-0.22,(-0.53%),Consumer Services,Professional Services,"7,640,314,146","737,617",$1.91,$0.50,"Mar 23, 2022",1.2%,1.45
946,Bright Horizons Family Solutions Inc. Common Stock,128.66,-0.79,(-0.61%),Miscellaneous,Other Consumer Services,"7,627,132,315","144,513",$1.16,N/A,N/A,N/A,0.92
947,"Plains All American Pipeline, L.P. Common Units representing Limited Partner Interests",10.8,-0.40,(-3.57%),Energy,Oil & Gas Production,"7,614,469,552","4,687,971",$0.55,$0.72,"Feb 14, 2022",6.65%,1.96
948,"First Industrial Realty Trust, Inc. Common Stock",57.73,-0.84,(-1.43%),Consumer Services,Real Estate Investment Trusts,"7,607,721,517","543,492",$2.08,$1.18,"Apr 18, 2022",1.85%,0.94
949,Universal Display Corporation Common Stock,156.81,-5.54,(-3.41%),Technology,Semiconductors,"7,604,717,818","379,182",$3.86,$1.20,"Mar 31, 2022",0.49%,1.32
950,New York Times Company,45.36,-1.44,(-3.08%),Consumer Services,Newspapers/Magazines,"7,599,320,331","1,599,921",$1.29,$0.36,"Apr 21, 2022",0.6%,0.82
951,Olin Corporation Common Stock,48.67,+0.47,(+0.98%),Basic Industries,Industrial Specialties,"7,596,599,957","1,869,530",$7.95,$0.80,"Mar 11, 2022",1.69%,1.37
952,American Campus Communities Inc Common Stock,54.54,+0.08,(+0.15%),Consumer Services,Real Estate Investment Trusts,"7,589,618,035","864,522",$0.24,$1.88,"Feb 25, 2022",3.44%,1.02
953,National Retail Properties Common Stock,43.19,-0.15,(-0.35%),Consumer Services,Real Estate Investment Trusts,"7,585,676,255","554,669",$1.51,$2.12,"Feb 15, 2022",4.91%,0.89
954,Samsara Inc. Class A Common Stock,15.15,-1.70,(-10.09%),Technology,Retail: Computer Software & Peripheral Equipment,"7,580,624,589","1,304,550",N/A,N/A,N/A,N/A,15.16
955,Masimo Corporation Common Stock,136.72,-4.72,(-3.34%),Health Care,Medical/Dental Instruments,"7,569,460,417","716,221",$3.98,N/A,N/A,N/A,0.91
956,"GXO Logistics, Inc. Common Stock",65.8,-1.97,(-2.91%),Consumer Services,Diversified Commercial Services,"7,548,361,492","1,174,334",N/A,N/A,N/A,N/A,1.79
957,"Grifols, S.A. American Depositary Shares",11.11,-0.16,(-1.42%),Health Care,Biotechnology: Pharmaceutical Preparations,9.75,"459,327",$0.36,"Jun 3, 2021",3.13%,0.4,"Jun 5, 2014"
958,"Choice Hotels International, Inc. Common Stock",135.43,+0.21,(+0.16%),Consumer Services,Hotels/Resorts,"7,524,983,359","183,327",$5.15,$0.95,"Apr 15, 2022",0.71%,1.42
959,Kohl's Corporation Common Stock,53.94,-0.52,(-0.95%),Consumer Services,Department/Specialty Retail Stores,"7,506,185,918","1,917,150",$6.42,$2.00,"Mar 30, 2022",1.85%,1.92
961,PLDT Inc. Sponsored ADR,34.54,-0.18,(-0.52%),Public Utilities,Telecommunications Equipment,"7,462,566,469","22,052",$2.50,$1.178,"Apr 19, 2022",3.42%,0.22
963,Lattice Semiconductor Corporation Common Stock,53.86,-2.23,(-3.98%),Technology,Semiconductors,"7,415,979,899","680,716",$0.67,N/A,N/A,N/A,1.05
964,Brookfield Renewable Corporation Class A Subordinate Voting Shares,43.05,+0.17,(+0.4%),N/A,N/A,"7,414,440,972","654,735",N/A,$1.28,"Mar 31, 2022",3.05%,0.61
965,Brixmor Property Group Inc. Common Stock,24.87,-0.21,(-0.84%),Consumer Services,Real Estate Investment Trusts,"7,407,375,107","2,759,391",$0.90,$0.96,"Apr 18, 2022",3.79%,1.65
966,Flex Ltd. Ordinary Shares,15.94,-0.04,(-0.25%),Technology,Electrical Products,"7,397,535,973","1,627,137",$2.05,N/A,N/A,N/A,1.51
968,"Banco Santander Mexico, S.A., Institucion de Banca Multiple, Grupo Financiero Santander Mexico",5.4463,+0.1263,(+2.37%),Finance,Commercial Banks,"7,386,623,782","1,826",$0.67,$0.159,"Nov 15, 2021",2.94%,1.33
969,"Lincoln Electric Holdings, Inc. Common Shares",125.69,-0.21,(-0.17%),Capital Goods,Industrial Machinery/Components,"7,382,047,579","253,421",$4.61,$2.24,"Apr 15, 2022",1.76%,1.19
971,Performance Food Group Company Common Stock,47.59,-0.59,(-1.22%),Consumer Non-Durables,Food Distributors,"7,366,998,721","1,046,812",$0.25,N/A,N/A,N/A,1.55
972,"AptarGroup, Inc. Common Stock",112.3,+0.04,(+0.04%),Health Care,Medical/Dental Instruments,"7,362,626,638","237,053",$3.60,$1.52,"Feb 23, 2022",1.34%,0.66
973,Jefferies Financial Group Inc. Common Stock,30.41,-0.49,(-1.59%),Finance,Investment Bankers/Brokers/Service,"7,344,633,022","1,469,262",$6.13,$1.20,"Feb 25, 2022",3.8%,1.43
974,"Under Armour, Inc. Class A Common Stock",15.37,+0.08,(+0.52%),Consumer Non-Durables,Apparel,"7,321,287,901","4,985,304",$0.77,N/A,N/A,N/A,1.29
977,Envista Holdings Corporation Common Stock,45.06,-1.95,(-4.15%),Health Care,Medical/Dental Instruments,"7,291,879,785","2,712,540",$1.92,N/A,N/A,N/A,1.63
978,First American Corporation,66.64,+0.12,(+0.18%),Finance,Specialty Insurers,"7,286,210,283","599,673",$11.15,$2.04,"Mar 15, 2022",3.1%,1.23
979,KANZHUN LIMITED American Depository Shares,17.81,-4.36,(-19.67%),N/A,N/A,"7,283,912,802","7,186,728",N/A,N/A,N/A,N/A,0.61
980,Kinross Gold Corporation Common Stock,5.63,-0.06,(-1.05%),N/A,N/A,"7,282,968,000","17,406,569",$0.17,$0.12,"Mar 24, 2022",2.14%,0.94
981,Capri Holdings Limited Ordinary Shares,49.32,-0.88,(-1.75%),N/A,N/A,"7,280,386,004","2,377,202",$3.61,N/A,N/A,N/A,2.47
982,"Lamb Weston Holdings, Inc. Common Stock",50.11,-1.22,(-2.38%),Consumer Non-Durables,Specialty Foods,"7,276,152,396","1,500,862",$1.31,$0.98,"Mar 4, 2022",1.84%,0.71
983,"Nexstar Media Group, Inc. Class A Common Stock",177.43,-3.30,(-1.83%),Consumer Services,Broadcasting,"7,275,186,953","673,294",$19.02,$3.60,"Feb 28, 2022",1.96%,1.52
984,Levi Strauss & Co Class A Common Stock,18.22,-0.21,(-1.14%),Basic Industries,Industrial Specialties,"7,260,989,032","974,760",$1.35,$0.40,"Feb 24, 2022",2.12%,1.13
985,"Cemex, S.A.B. de C.V. Sponsored ADR",4.78,+0.05,(+1.06%),Capital Goods,Building Materials,"7,251,112,843","6,730,252",$0.49,N/A,N/A,N/A,1.32
986,"Penumbra, Inc. Common Stock",192.2,-7.80,(-3.9%),Health Care,Medical/Dental Instruments,"7,236,575,055","140,283",$0.15,N/A,N/A,N/A,0.46
988,"Pinnacle Financial Partners, Inc. Common Stock",94.79,+0.28,(+0.3%),Finance,Major Banks,"7,231,638,393","242,011",$6.76,$0.88,"Feb 25, 2022",0.92%,1.19
989,Range Resources Corporation Common Stock,27.53,-0.60,(-2.13%),Energy,Oil & Gas Production,"7,216,879,132","4,447,329",$1.49,N/A,N/A,N/A,2.07
990,DLocal Limited Class A Common Shares,24.42,-1.56,(-6%),N/A,N/A,"7,204,594,529","733,031",N/A,N/A,N/A,N/A,1.47
991,Dolby Laboratories Common Stock,70.62,-0.89,(-1.24%),Technology,EDP Services,"7,190,411,171","330,900",$2.44,$1.00,"Feb 23, 2022",1.4%,1.05
992,"Penn National Gaming, Inc. Common Stock",42.67,-1.52,(-3.44%),Consumer Services,Movies/Entertainment,"7,182,326,067","2,655,458",$2.50,N/A,N/A,N/A,2.42
993,Braskem SA ADR,18.0,-0.72,(-3.85%),Basic Industries,Major Chemicals,"7,164,596,448","801,633",$6.76,$2.71,"Dec 30, 2021",14.75%,1.75
994,"Endeavor Group Holdings, Inc. Class A Common Stock",27.08,-0.45,(-1.63%),Consumer Services,Movies/Entertainment,"7,152,095,253","976,100",N/A,N/A,N/A,N/A,0.31
995,Just Eat Takeaway.com N.V. American Depositary Shares,6.72,+0.65,(+10.71%),N/A,N/A,"7,144,072,320","9,442,974",N/A,N/A,N/A,N/A,1.22
996,Oshkosh Corporation,106.85,-0.75,(-0.7%),Capital Goods,Auto Manufacturing,"7,116,615,603","452,177",$5.90,$1.48,"Feb 25, 2022",1.38%,1.42
997,TopBuild Corp. Common Stock,216.12,+0.53,(+0.25%),Capital Goods,Engineering & Construction,"7,116,223,222","192,070",$9.77,N/A,N/A,N/A,1.58
998,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",37.37,+0.03,(+0.08%),Consumer Durables,Building Products,"7,103,803,288","746,378",$3.08,$0.676,"Apr 11, 2022",1.67%,1.47
